Topic,Sample_Size,Sentiment_Negative,Sentiment_Positive,Sentiment_Neutral,Emotion_anger,Emotion_anticipation,Emotion_disgust,Emotion_fear,Emotion_joy,Emotion_love,Emotion_optimism,Emotion_pessimism,Emotion_sadness,Emotion_surprise,Emotion_trust
10,50,0.84,0.04,0.12,0.23495134687051178,0.05375522550195456,0.3186580487340689,0.7335322237014771,0.13290049828588962,0.04383691671770066,0.13134455001913012,0.2519870770350099,0.5906760304421187,0.029460371788591146,0.018007573774084448
11,50,0.8,,0.2,0.23631471714936197,0.14576113406568766,0.31544511251151564,0.6535354343801737,0.0680728629603982,0.013336087164934724,0.1880059522204101,0.30153922945261,0.5576850166916847,0.03281469345092773,0.019939710227772592
12,50,0.92,0.06,0.02,0.2423396972194314,0.06363367490470409,0.3192327082157135,0.7306726759485901,0.07864708241075277,0.015917444620281457,0.11861863403581083,0.313256219625473,0.6079494301974774,0.021331076323986054,0.014554551071487367
13,50,0.96,,0.04,0.3629908943921328,0.06742027658969164,0.4143068166822195,0.3622287492826581,0.07255477637052536,0.01564668073318899,0.22551868630573155,0.4053287152945995,0.7809095332026481,0.018656437378376724,0.0193203086219728
14,50,0.82,0.06,0.12,0.4608504608646035,0.10038974195718765,0.5243013149499893,0.5595245474204421,0.11032424292527139,0.012204298544675111,0.13816371709108352,0.23519282758235932,0.5314648301899433,0.04231634804978967,0.016002496536821127
15,50,0.74,0.1,0.16,0.14068503327667714,0.12623260103166103,0.18840748377144337,0.6823119016736746,0.1411177828349173,0.02321855417918414,0.367690422385931,0.23575000358745457,0.4019750802591443,0.02700290858745575,0.03919192288070917
16,48,0.8958333333333334,0.041666666666666664,0.0625,0.20682402892271057,0.10719920555129647,0.28831427874198806,0.5181658677950812,0.16242630808847025,0.030859406794964645,0.1740967850200832,0.29405901049419,0.6327099949121475,0.03448558924719691,0.018270438934753958
17,41,0.8292682926829268,0.024390243902439025,0.14634146341463414,0.3744647586945353,0.061127873228454005,0.43016666982595514,0.6530201656789314,0.1219560323260361,0.02650884772855334,0.13944901338574,0.2656265945151085,0.6268889564203053,0.027294460093466248,0.016510380613731175
18,40,0.875,0.05,0.075,0.3613370477221906,0.10940306214615703,0.4462744332384318,0.3615933471475728,0.1443559665232897,0.025219579797703773,0.13602265511872247,0.31789625813253225,0.6480882239993662,0.03413829761557281,0.01763886297121644
19,27,0.6296296296296297,,0.37037037037037035,0.20104557324062894,0.20264657255676058,0.3050643982434714,0.6048030959511245,0.09416414460995132,0.009913349041232356,0.14869044541760726,0.22330257703584652,0.4474301696927459,0.04397328991304945,0.018398502876085264
20,25,0.8,0.04,0.16,0.33842621706426146,0.10756396360695362,0.4512521155178547,0.5122735996544361,0.12363337103277444,0.013172866473905743,0.15319127470254898,0.3095678639411926,0.6216740760207177,0.026943678371608257,0.015603452268987895
21,25,0.72,0.12,0.16,0.10518951452337205,0.09915546223521232,0.16194643046706914,0.871205250620842,0.14323431262746453,0.033911017253994945,0.23020479936152696,0.25281439524143934,0.47427001491189,0.025176632106304168,0.030812995340675116
22,24,0.7083333333333334,0.16666666666666666,0.125,0.1657516157720238,0.15914750068138042,0.24693250438819328,0.5548421510029584,0.14221197886702916,0.021794432812991243,0.2317892152350396,0.295750855623434,0.60988169706737,0.034016693146744124,0.02873814682243392
23,22,0.2727272727272727,0.22727272727272727,0.5,0.15717790895988318,0.26521039263091306,0.19893419564786283,0.33768155993047083,0.33818590585989033,0.10642468991731717,0.39569026401097124,0.19933084254576403,0.45998753962868993,0.0497378576123579,0.06817504810169339
24,22,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.24075321154668927,0.16637218997559763,0.2614210413938219,0.38807740583169187,0.1970767434474758,0.03856766284231774,0.523713718295436,0.20191592138937928,0.4148667502132329,0.025606907142156906,0.05271420968611809
25,21,0.8095238095238095,,0.19047619047619047,0.2943286711261386,0.15711915040654795,0.3697144974555288,0.5081245783228605,0.20386166965943717,0.01781954637373842,0.127210291257749,0.18689564247393892,0.3998174604383253,0.05277195688159693,0.016825488036764518
26,20,0.4,0.2,0.4,0.17843252262100578,0.18591678468510509,0.23927735770121217,0.3127881237771362,0.3820586748421192,0.059852236160077156,0.3511905510909855,0.15422418350353836,0.5010766900144518,0.0459292774554342,0.04669812403153628
27,19,0.631578947368421,0.10526315789473684,0.2631578947368421,0.2284739037583533,0.06379500531444424,0.307995702581186,0.6981176139884874,0.17953287594412504,0.03946297632922467,0.1508636185899377,0.24935599083178922,0.5304431625102696,0.02597888377740195,0.01513278758839557
28,18,0.7777777777777778,,0.2222222222222222,0.1392028857436445,0.05644851726376348,0.2074049934744835,0.8849697772206532,0.07921019688041674,0.020051344776422612,0.11500196531414986,0.29238958863748443,0.5771651814381281,0.02336838474083278,0.014469701305238737
29,18,0.5,0.05555555555555555,0.4444444444444444,0.18043656036671665,0.15443496447470453,0.219222919549793,0.5901663508266211,0.1281153253900508,0.0588286193087697,0.33664768489284647,0.25170049123052096,0.5106128052704864,0.02048652417336901,0.048411181662231684
30,16,0.8125,0.0625,0.125,0.07457965397043154,0.09876760630868375,0.0991156924283132,0.8627818482927978,0.11978015722706914,0.021413661364931613,0.2761808456853032,0.21370348567143083,0.42011485574766994,0.01883309963159263,0.02517020725645125
31,15,0.5333333333333333,0.2,0.26666666666666666,0.037190093441555896,0.09159069905678431,0.07378332850833734,0.7728178744514783,0.1978520051886638,0.033067208838959535,0.3341808890302976,0.21322691862781842,0.48346199492613473,0.018819541297852994,0.028062518934408823
32,15,0.9333333333333333,,0.06666666666666667,0.22611252591013908,0.04764460710187753,0.29804774013658364,0.9368070085843404,0.038873640913516284,0.018586591320733228,0.09127724698434274,0.31368139684200286,0.6407388349374136,0.02304426282644272,0.01404597315316399
33,15,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.29372337919970354,0.09649914018809795,0.37464975050340094,0.48381344688435396,0.11854814871524771,0.028617049008607863,0.20440577091649176,0.3060144153113166,0.6369147012631099,0.02632534597069025,0.03241124336297314
